author	year	category	condemned	eligible
Martyrdom Of Polycarp	200	Early Fathers (Pre-Nicaea)		yes
Martyrdom of Colluthus	304	Early Fathers (Pre-Nicaea)		yes
Matthew	60	Canonical Scriptures		no
Maximus of Turin	465	Western & Medieval Theology		yes
Maximus the Confessor	662	Eastern & Byzantine Theology		yes
Melito of Sardis	180	Early Fathers (Pre-Nicaea)		yes
Methodius of Olympus	311	Early Fathers (Pre-Nicaea)		yes
Muratorian fragment	170	Early Fathers (Pre-Nicaea)		yes
Nemesius of Emesa	390	Eastern & Byzantine Theology		yes
Nerses of Lambron	1198	Syriac & Oriental Theology		no
Nicetas of Remesiana	414	Western & Medieval Theology		yes
Nicholas of Gorran	1295	Western & Medieval Theology		no
Nicholas of Lyra	1349	Western & Medieval Theology		no
Nilus of Sinai	451	Eastern & Byzantine Theology		yes
Novatian	258	Early Fathers (Pre-Nicaea)	yes	no
Odes of Solomon	125	Apocrypha, Pseudepigrapha & Early Documents		yes
Oecumenius	550	Eastern & Byzantine Theology		yes
Olympiodorus of Alexandria	600	Eastern & Byzantine Theology		yes
Optatus of Milevis	390	Western & Medieval Theology		yes
Oresiesis-Heru-sa Ast	380	Syriac & Oriental Theology		yes
Origen of Alexandria	253	Early Fathers (Pre-Nicaea)		yes
Pachomius the Great	348	Syriac & Oriental Theology		yes
Pacian of Barcelona	391	Western & Medieval Theology		yes
Palladius of Antioch	390	Eastern & Byzantine Theology		yes
Palladius of Galatia	420	Eastern & Byzantine Theology		yes
Pamphilus of Caesarea	309	Early Fathers (Pre-Nicaea)		yes
Papias of Hierapolis	130	Early Fathers (Pre-Nicaea)		yes
Papias the Lexicographer	1060	Western & Medieval Theology		no
Paschasius Radbertus	865	Western & Medieval Theology		no
Paschasius of Dumium	600	Western & Medieval Theology		yes
Paterius	606	Western & Medieval Theology		yes
Patrick of Ireland	461	Western & Medieval Theology		yes
Paulinus of Milan	422	Western & Medieval Theology		yes
Paulinus of Nola	431	Western & Medieval Theology		yes
Paulus Orosius	420	Western & Medieval Theology		yes
Pelagius	418	Western & Medieval Theology	yes	no
Peter Chrysologus	450	Western & Medieval Theology		yes
Peter Olivi	1298	Western & Medieval Theology		no
Peter of Alexandria	311	Early Fathers (Pre-Nicaea)		yes
Petrus Alphonsi	1130	Western & Medieval Theology		no
Philastrius of Brescia	397	Western & Medieval Theology		yes
Phileas of Thmuis	306	Early Fathers (Pre-Nicaea)		yes
Philippians	62	Canonical Scriptures		no
Philo of Alexandria	50	Second Temple Judaism		no
Philo of Carpasia	400	Eastern & Byzantine Theology		yes
Philoxenus of Mabbug	523	Syriac & Oriental Theology		yes
Photios I of Constantinople	893	Eastern & Byzantine Theology		no
Polycarp of Smyrna	155	Early Fathers (Pre-Nicaea)		yes
Polycrates Of Ephesus	196	Early Fathers (Pre-Nicaea)		yes
