chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
4	9	1	NKO	ἃ	ha	G3739	R-APN	ὅς, ἥ	which	What	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	2	NKO	καὶ	kai	G2532	CONJ	καί	and	also	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	3	NKO	ἐμάθετε	emathete	G3129	V-2AAI-2P	μανθάνω	to learn	you have learned	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	4	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	5	NKO	παρελάβετε	parelabete	G3880	V-2AAI-2P	παραλαμβάνω	to take	you have received	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	6	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	7	NKO	ἠκούσατε	ēkousate	G0191	V-AAI-2P	ἀκούω	to hear	you heard	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	8	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	9	NKO	εἴδετε	eidete	G1492H	V-2AAI-2P	εἴδω	to perceive	you have seen	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	10	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	11	NKO	ἐμοί,	emoi	G1473	P-1DS	ἐγώ	I/we	me myself,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	12	NKO	ταῦτα	tauta	G3778	D-APN	οὗτος	this/he/she/it	these things	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	13	NKO	πράσσετε,	prassete	G4238	V-PAM-2P	πράσσω	to do/require	do practice,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
4	9	14	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
