chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
6	18	9	NKO	ἄνθρωπος,	anthrōpos	G0444	N-NSM	ἄνθρωπος	a human	a man,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	10	NKO	ἐκτὸς	ektos	G1622	PREP	ἐκτός	outside/except	outside	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	11	NKO	τοῦ	tou	G3588	T-GSN	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	12	NKO	σώματός	sōmatos	G4983	N-GSN	σῶμα	body	body	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	13	NKO	ἐστιν·	estin	G1510	V-PAI-3S	εἰμί	to be	is;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	14	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	the [one]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	15	NKO	δὲ	de	G1161	CONJ	δέ	but/and	however	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	16	NKO	πορνεύων	porneuōn	G4203	V-PAP-NSM	πορνεύω	to sin sexually	sinning sexually	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	17	NKO	εἰς	eis	G1519	PREP	εἰς	toward	against	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	18	NKO	τὸ	to	G3588	T-ASN	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	19	NKO	ἴδιον	idion	G2398	A-ASN	ἴδιος	one's own/private	[their] own	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	20	NKO	σῶμα	sōma	G4983	N-ASN	σῶμα	body	body	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	18	21	NKO	ἁμαρτάνει.	hamartanei	G0264	V-PAI-3S	ἁμαρτάνω	to sin	sins.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	19	1	NKO	ἢ	ē	G2228	CONJ	ἤ	or/than	Or	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	19	2	NKO	οὐκ	ouk	G3756	PRT-N	οὐ	no	surely	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	19	3	NKO	οἴδατε	oidate	G6063	V-RAI-2P	εἴδω	to perceive	you know	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	19	4	NKO	ὅτι	hoti	G3754G	CONJ	ὅτι	that/since	that	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	19	5	NKO	τὸ	to	G3588	T-NSN	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	19	6	NKO	σῶμα	sōma	G4983	N-NSN	σῶμα	body	body	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	19	7	NKO	ὑμῶν	humōn	G4771	P-2GP	σύ	you	of you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
