chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
6	39	1	NKO	εἶπεν	eipen	G2036	V-2AAI-3S	ἔπω, ἐρῶ, εἶπον	to say	He spoke	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	2	NKO	δὲ	de	G1161	CONJ	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	3	no	καὶ	kai	G2532	CONJ	καί	and	also	NA28+NA27+Tyn+SBL+WH+Treg	
6	39	4	NKO	παραβολὴν	parabolēn	G3850	N-ASF	παραβολή	parable	a parable	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	5	NKO	αὐτοῖς·	autois	G0846	P-DPM	αὐτός	he/she/it/self	to them;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	6	NKO	μήτι	mēti	G3385	PRT-N	μή	not + τις=one	surely not ever	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	7	NKO	δύναται	dunatai	G1410	V-PNI-3S	δύναμαι	be able	is able	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	8	NKO	τυφλὸς	tuphlos	G5185	A-NSM	τυφλός	blind	a blind [man]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	9	NKO	τυφλὸν	tuphlon	G5185	A-ASM	τυφλός	blind	a blind [man]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	10	NKO	ὁδηγεῖν;	hodēgein	G3594	V-PAN	ὁδηγέω	to guide	to lead?	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	11	NKO	οὐχὶ	ouchi	G3780	PRT-N	οὐχί	not	Surely	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	12	NKO	ἀμφότεροι	amphoteroi	G0297	A-NPM	ἀμφότερος	both	both	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	13	NKO	εἰς	eis	G1519	PREP	εἰς	toward	into	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	14	NKO	βόθυνον	bothunon	G0999	N-ASM	βόθυνος	pit	a pit	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	39	15	N(k)O	ἐμπεσοῦνται;¶	empesountai	G1706	V-FNI-3P	ἐμπίπτω	to fall into	will fall in?	NA28+NA27+Tyn+SBL+WH+Treg	
6	40	1	NKO	Οὐκ	Ouk	G3756	PRT-N	οὐ	no	Not	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	2	NKO	ἔστιν	estin	G1510	V-PAI-3S	εἰμί	to be	is	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	3	NKO	μαθητὴς	mathētēs	G3101	N-NSM	μαθητής	disciple	a disciple	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	4	NKO	ὑπὲρ	huper	G5228	PREP	ὑπέρ	above/for	above	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	5	NKO	τὸν	ton	G3588	T-ASM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	6	NKO	διδάσκαλον	didaskalon	G1320	N-ASM	διδάσκαλος	teacher	teacher	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	7	k	αὐτοῦ.	autou	G0846	P-GSM	αὐτός	he/she/it/self	of him.	TR+Byz	
6	40	8	NKO	κατηρτισμένος	katērtismenos	G2675	V-RPP-NSM	καταρτίζω	to complete	fully trained	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	9	NKO	δὲ	de	G1161	CONJ	δέ	but/and	however	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	10	NKO	πᾶς	pas	G3956	A-NSM	πᾶς	all	everyone	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	11	NKO	ἔσται	estai	G1510	V-FDI-3S	εἰμί	to be	will be	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	12	NKO	ὡς	hōs	G5613	PRT	ὡς	which/how	like	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	13	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	14	NKO	διδάσκαλος	didaskalos	G1320	N-NSM	διδάσκαλος	teacher	teacher	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	40	15	NKO	αὐτοῦ.¶	autou	G0846	P-GSM	αὐτός	he/she/it/self	of him.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	1	NKO	Τί	Ti	G5101	I-ASN	τίς	which?	Why	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	2	NKO	δὲ	de	G1161	CONJ	δέ	but/and	now	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	3	NKO	βλέπεις	blepeis	G0991	V-PAI-2S	βλέπω	to see	look you at	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	4	NKO	τὸ	to	G3588	T-ASN	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	5	NKO	κάρφος	karphos	G2595	N-ASN	κάρφος	speck	splinter	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	6	NKO	τὸ	to	G3588	T-ASN	ὁ	the/this/who	that [is]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	7	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	8	NKO	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	9	NKO	ὀφθαλμῷ	ophthalmō	G3788	N-DSM	ὀφθαλμός	eye	eye	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	10	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	11	NKO	ἀδελφοῦ	adelphou	G0080	N-GSM	ἀδελφός	brother	brother	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	12	NKO	σου,	sou	G4771	P-2GS	σύ	you	of you,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	13	NKO	τὴν	tēn	G3588	T-ASF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	14	NKO	δὲ	de	G1161	CONJ	δέ	but/and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	15	NKO	δοκὸν	dokon	G1385	N-ASF	δοκός	plank	the beam	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	16	NKO	τὴν	tēn	G3588	T-ASF	ὁ	the/this/who	that [is]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	17	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	18	NKO	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	19	NKO	ἰδίῳ	idiō	G2398	A-DSM	ἴδιος	one's own/private	own	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	20	NKO	ὀφθαλμῷ	ophthalmō	G3788	N-DSM	ὀφθαλμός	eye	eye	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	21	NKO	οὐ	ou	G3756	PRT-N	οὐ	no	not	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	41	22	NKO	κατανοεῖς;	katanoeis	G2657	V-PAI-2S	κατανοέω	to observe	notice?	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	1	ko	ἢ	ē	G2228	CONJ	ἤ	or/than	or	Tyn+Treg+TR+Byz	
6	42	2	NKO	πῶς	pōs	G4459	PRT-I	πως	how?!	How	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	3	NKO	δύνασαι	dunasai	G1410	V-PNI-2S	δύναμαι	be able	are you able	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	4	NKO	λέγειν	legein	G3004G	V-PAN	λέγω	to speak	to say	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	5	NKO	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	to the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	6	NKO	ἀδελφῷ	adelphō	G0080	N-DSM	ἀδελφός	brother	brother	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	7	NKO	σου·	sou	G4771	P-2GS	σύ	you	of you;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	8	NKO	ἀδελφέ,	adelphe	G0080	N-VSM	ἀδελφός	brother	Brother,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	9	NKO	ἄφες	aphes	G0863I	V-2AAM-2S	ἀφίημι	to release	do allow [me]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	10	NKO	ἐκβάλω	ekbalō	G1544	V-2AAS-1S	ἐκβάλλω	to expel	I may cast out	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	11	NKO	τὸ	to	G3588	T-ASN	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	12	NKO	κάρφος	karphos	G2595	N-ASN	κάρφος	speck	splinter	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	13	NKO	τὸ	to	G3588	T-ASN	ὁ	the/this/who	that [is]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
6	42	14	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
