chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	7	6	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	7	NKO	ἀγαπητοῦ	agapētou	G0027	A-GSM	ἀγαπητός	beloved	beloved	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	8	NKO	συνδούλου	sundoulou	G4889	N-GSM	σύνδουλος	fellow slave	fellow bond-servant	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	9	NKO	ἡμῶν,	hēmōn	G3165	P-1GP	ἐγώ	I/we	of us,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	10	NKO	ὅς	hos	G3739	R-NSM	ὅς, ἥ	which	who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	11	NKO	ἐστιν	estin	G1510	V-PAI-3S	εἰμί	to be	is	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	12	NKO	πιστὸς	pistos	G4103	A-NSM	πιστός	faithful	faithful	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	13	NKO	ὑπὲρ	huper	G5228	PREP	ὑπέρ	above/for	on behalf of	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	14	NK(O)	ὑμῶν	humōn	G4771	P-2GP	σύ	you	of you	NA28+NA27+TR+Byz	
1	7	15	NKO	διάκονος	diakonos	G1249	N-NSM	διάκονος	servant	a servant	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	16	NKO	τοῦ	tou	G3588	T-GSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	7	17	NKO	Χριστοῦ,	Christou	G5547	N-GSM-T	Χριστός	Christ	of Christ,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	1	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	the [one]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	2	NKO	καὶ	kai	G2532	CONJ	καί	and	also	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	3	NKO	δηλώσας	dēlōsas	G1213	V-AAP-NSM	δηλόω	to make clear	having made known	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	4	NKO	ἡμῖν	hēmin	G3165	P-1DP	ἐγώ	I/we	to us	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	5	NKO	τὴν	tēn	G3588	T-ASF	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	6	NKO	ὑμῶν	humōn	G4771	P-2GP	σύ	you	your	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	7	NKO	ἀγάπην	agapēn	G0026	N-ASF	ἀγάπη	love	love	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	8	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	9	NKO	πνεύματι.¶	pneumati	G4151G	N-DSN	πνεῦμα	spirit/breath	[the] Spirit.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	1	NKO	Διὰ	Dia	G1223	PREP	διά	through/because of	Because of	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	2	NKO	τοῦτο	touto	G3778	D-ASN	οὗτος	this/he/she/it	this	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	3	NKO	καὶ	kai	G2532	CONJ	καί	and	also	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	4	NKO	ἡμεῖς,	hēmeis	G3165	P-1NP	ἐγώ	I/we	we ourselves	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	5	NKO	ἀφ᾽	aph᾽	G0575	PREP	ἀπό	away from	from	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	6	NKO	ἧς	hēs	G3739	R-GSF	ὅς, ἥ	which	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	7	NKO	ἡμέρας	hēmeras	G2250	N-GSF	ἡμέρα	day	day	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	8	NKO	ἠκούσαμεν,	ēkousamen	G0191	V-AAI-1P	ἀκούω	to hear	we heard,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	9	NKO	οὐ	ou	G3756	PRT-N	οὐ	no	not	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
