chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	8	14	NKO	ἡ	hē	G3588	T-NSF	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	15	NKO	πίστις	pistis	G4102G	N-NSF	πίστις	faith	faith	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	16	NKO	ὑμῶν	humōn	G4771	P-2GP	σύ	you	of you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	17	NKO	καταγγέλλεται	katangelletai	G2605	V-PPI-3S	καταγγέλλω	to proclaim	is being proclaimed	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	18	NKO	ἐν	en	G1722	PREP	ἐν	in/on/among	in	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	19	NKO	ὅλῳ	holō	G3650	A-DSM	ὅλος	all	all	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	20	NKO	τῷ	tō	G3588	T-DSM	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	8	21	NKO	κόσμῳ·	kosmō	G2889	N-DSM	κόσμος	world	world;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	1	NKO	μάρτυς	martus	G3144	N-NSM	μάρτυς	witness	Witness	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	2	NKO	γάρ	gar	G1063	CONJ	γάρ	for	for	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	3	NKO	μού	mou	G3165	P-1GS	ἐγώ	I/we	me	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	4	NKO	ἐστιν	estin	G1510	V-PAI-3S	εἰμί	to be	is	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	5	NKO	ὁ	ho	G3588	T-NSM	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	6	NKO	θεός,	theos	G2316	N-NSM-T	θεός	God	God,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	9	7	NKO	ᾧ	hō	G3739	R-DSM	ὅς, ἥ	which	whom	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
